Date;MHCI;EZU;EWJ;XOP;GDX;SPY;EEM;EWA;EWY
2022-12;7.9;4.82;4.34;6.16;4.61;17.92;4.2;2.63;7.38
2022-11;0.49;-1.07;-1.36;-16.24;-0.39;-25.25;-1.62;-1.46;-4.22
2022-10;11.43;5.33;5.81;0.83;4.89;21.47;5.33;2.97;8.89
2022-9;-6.98;3.23;1.14;26.57;0.04;29.03;-0.69;1.1;4.45
2022-8;-7.13;-3.35;-4.74;-20.03;0.32;-38;-4.55;-2.29;-10.55
2022-7;0;-2.83;-2.56;7.73;-2.47;-16.81;-0.53;-0.83;-2.64
2022-6;-6.12;1.81;3.32;17.54;-1.11;34.74;-0.14;1.52;2.36
2022-5;4.2;-5.5;-4.77;-35.15;-4.35;-35.68;-2.54;-3.46;-9.85
2022-4;1.32;1.74;0.98;22.82;-3.26;0.93;0.26;0.1;1.4
2022-3;-2.42;-3.16;-4.99;-2.74;-3.36;-39.64;-2.77;-1.85;-4.59
2022-2;-5.7;-0.61;-1.33;17.64;3.97;15.01;-1.58;2.38;-1.18
2022-1;-3.98;-3.5;-1.14;10.31;4.15;-13.28;-2.11;1.21;0.02
2021-12;-0.17;-1.63;-2.88;10.73;-1.8;-25.05;-0.01;-1.99;-5.48
2021-11;-2.43;1.41;0.63;-1.52;0.23;19.4;0.01;0.37;2.14
2021-10;-4.01;-2.72;-2.07;-8.97;0.09;-3.69;-2.08;-2;-3.76
2021-9;1.7;2.2;-1.85;9.64;2.24;30.11;0.54;1.64;-1.17
2021-8;-3.25;-2.71;1.85;14.07;-3.13;-22.42;-2.03;-1.1;-6.03
2021-7;-0.48;0.98;1.29;-0.15;-2.32;13.05;0.81;0.15;-2.06
2021-6;-11.13;0.5;-0.43;-13.89;0.94;10.45;-3.55;-0.21;-4.43
2021-5;0.6;-1.37;-1.04;7.62;-5.44;8.02;0.28;-0.76;1.15
2021-4;-0.14;2.13;1.16;8.87;5.06;2.74;0.89;0.86;1.47
2021-3;0.28;2.16;-1.1;-1.14;1.86;20.97;0.64;1.09;0.86
2021-2;-5.39;1.65;0.3;0.83;1.37;15.97;-0.39;0.28;1.73
2021-1;-0.41;1.47;1.23;16.19;-3.38;10.29;0.42;0.76;-0.13
2020-12;6.53;-0.77;-0.57;5.82;-1.51;-3.81;1.64;-0.2;2.05
2020-11;1.15;1.14;3.17;4.44;1.34;11.82;2.94;1.23;9.63
2020-10;2.08;7.06;6.15;13.48;-2.81;35.52;4.02;2.95;11.52
2020-9;3.54;-2.04;-0.83;-1.49;-1.67;-8.35;0.62;0.05;-0.44
2020-8;-1.47;-1.47;1.05;-9.39;-3.11;-14.42;-0.45;-1.07;2.27
2020-7;4.12;1.72;3.69;0.09;-0.67;22.79;1.25;0.88;2.81
2020-6;6.04;1.19;-0.59;-0.81;6.26;18.16;3.3;0.64;3.13
2020-5;4.44;1.7;-0.49;0.3;2.36;4.04;2.26;1.21;3.57
2020-4;1.01;2.39;3.65;-2.48;2.06;13.84;1.09;1.02;1.94
2020-3;2.72;1.88;2.37;21.46;9.22;32.73;2.51;1.5;4.7
2020-2;-4.86;-6.98;-3.57;-28.62;-3.18;-38.51;-6.39;-4.58;-8.04
2020-1;2.01;-2.99;-4.79;-15.12;-2.77;-25.47;-1.59;-2.14;-2.69
2019-12;-3.96;-1.44;-1.49;-18.16;-0.29;-0.13;-2.76;-0.38;-4.54
2019-11;4.41;1.13;-0.19;13.36;2.2;7.55;2.59;-0.19;3.72
2019-10;1.19;0.37;0.75;-3.04;-1.07;10.98;-0.04;0.3;-0.46
2019-9;2.38;1.53;1.94;-4.96;1.44;6.56;1.7;0.28;2.59
2019-8;-0.34;0.98;2.82;3.16;-3.15;4.32;0.67;0.57;3.08
2019-7;-2.04;-0.58;-0.43;-13.84;3.36;-4.98;-1.57;-0.73;-2.14
2019-6;-0.98;-1.07;-0.23;-8.88;0.94;4.43;-1.13;-0.13;-4.47
2019-5;4.11;1.64;1.86;6.56;3.97;17.73;2.18;0.74;4.3
2019-4;-8.16;-2.61;-2.7;-21.36;0.7;-18.75;-3.2;0.03;-5.91
2019-3;1.08;1.93;0.7;0.84;-1.53;11.54;1.01;0.25;0.53
2019-2;1.72;0.08;0.36;3.84;0.18;3.8;0.47;0.24;-2.02
2019-1;1.39;1.17;0.08;-3.04;-0.45;8.75;-0.65;0.69;-1.75
2018-12;6.67;2.29;3.59;16.04;1.6;20.01;4.01;1.34;5.86
2018-11;-4.84;-2.18;-4.65;-25.12;2;-25.73;-2;-1.55;-1.76
2018-10;4.21;-0.13;0.5;-13.04;0.16;5.02;1.9;0.2;2.35
2018-9;-6.62;-3.64;-5.39;-28.88;0.41;-20.09;-3.73;-1.52;-10
2018-8;-0.84;-0.21;2.01;3.8;-0.03;0.41;-0.25;-0.37;0.95
2018-7;-3.07;-1.35;-0.31;-2.72;-2.73;8.98;-1.68;-0.43;0.06
2018-6;-0.78;1.56;0.62;-0.16;-1.03;10.05;1.52;0.31;-0.45
2018-5;-4.22;-1.73;-1.83;3.24;-0.03;0.34;-2.35;0.04;-4.43
2018-4;1.98;-1.59;-0.9;11.48;0.06;6.43;-1.22;0.38;-3.46
2018-3;-1.72;0.98;-0.04;16.64;0.3;1.36;-1.35;0.17;0.15
2018-2;-0.62;-0.29;-0.39;8.64;0.63;-8.5;0.26;-0.8;3.36
2018-1;-5.6;-2.78;-1.87;-15.4;-2.4;-10.25;-2.99;-0.95;-6.15
